country,population,continent
United States,337000000,North America
Canada,38000000,North America
Mexico,127000000,North America
Brazil,214000000,South America
Argentina,45000000,South America
Colombia,52000000,South America
United Kingdom,67000000,Europe
France,68000000,Europe
Germany,83000000,Europe
Italy,59000000,Europe
Spain,47000000,Europe
Russia,145000000,Europe
India,1408000000,Asia
China,1426000000,Asia
Indonesia,274000000,Asia
Pakistan,231000000,Asia
Bangladesh,169000000,Asia
Japan,125000000,Asia
Philippines,114000000,Asia
Vietnam,97000000,Asia
Thailand,72000000,Asia
Iran,88000000,Asia
Turkey,85000000,Asia
South Korea,52000000,Asia
Nigeria,213000000,Africa
Egypt,109000000,Africa
South Africa,59000000,Africa
Kenya,53000000,Africa
Australia,26000000,Oceania
New Zealand,5100000,Oceania
